chr,strand,start,end,Transcript,Splicing_type,exon_pair_len
chr1,-,78161671,78181553,NM_001377439.1,BS,19882
chr17,+,7465308,7481234,NR_037926.1,BS,15926
chr17,+,7473673,7482324,NR_037926.1,BS,8651
chr17,+,7465308,7480805,NR_037926.1,BS,15497
chr17,+,7480373,7482324,NR_037926.1,BS,1951
chr17,+,7478436,7482324,NR_037926.1,BS,3888
chr17,+,7465308,7481024,NR_037926.1,BS,15716
chr17,+,7468275,7482324,NR_037926.1,BS,14049
chr17,+,7465308,7482324,NR_037926.1,BS,17016
chr17,+,7479841,7482324,NR_037926.1,BS,2483
chr17,+,7480661,7482324,NR_037926.1,BS,1663
chr17,+,7467941,7482324,NR_037926.1,BS,14383
chr17,+,7465308,7477996,NR_037926.1,BS,12688
chr17,+,7475601,7482324,NR_037926.1,BS,6723
chr16,+,67262257,67263181,NM_001318217.2,BS,924
chr16,+,67262397,67263181,NM_001318217.2,BS,784
chr6,-,74303101,74351647,NM_001382633.1,BS,48546
chr17,+,76358753,76363347,NR_110847.1,BS,4594
chr1,+,183511210,183523326,NM_001394134.1,BS,12116
chr1,+,183514064,183523326,NM_001394134.1,BS,9262
chr1,+,174926593,174927310,NM_001366451.1,BS,717
chr8,-,102899368,102928086,NM_001040624.2,BS,28718
chr8,-,102731479,102899455,NM_001040624.2,BS,167976
chr6,-,53426086,53429687,NR_110840.1,BS,3601
chr1,+,46650631,46651634,NM_005727.4,BS,1003
chr1,+,46646771,46651634,NM_005727.4,BS,4863
chr1,+,46646197,46651634,NM_005727.4,BS,5437
chr1,+,46650456,46651634,NM_005727.4,BS,1178
chr11,-,18787353,18793618,NM_006906.2,BS,6265
chr11,+,46722948,46724793,NM_001184751.2,BS,1845
chrX,-,2343237,2419017,NM_145177.3,BS,75780
chrX,-,2184780,2419017,NM_145177.3,BS,234237
chrX,-,2326785,2419017,NM_145177.3,BS,92232
chr6,-,170068077,170089404,NR_146876.2,BS,21327
chr6,-,170067231,170089404,NR_146876.2,BS,22173
chr10,-,121336591,121342069,NM_001323964.2,BS,5478
chr10,+,133918175,133931078,NM_001392048.1,BS,12903
chr10,+,133958610,133959084,NM_001392048.1,BS,474
chr10,+,133958610,133963545,NM_001392048.1,BS,4935
chr10,+,133958610,133966527,NM_001392048.1,BS,7917
chr10,+,133958610,133967494,NM_001392048.1,BS,8884
chr10,+,133958610,133961554,NM_001392048.1,BS,2944
chr10,+,133918175,133967494,NM_001392048.1,BS,49319
chr10,+,133958610,133978239,NM_001392048.1,BS,19629
chr19,-,9870535,9875711,NM_001395834.1,BS,5176
chr19,-,9868734,9870618,NM_001395834.1,BS,1884
chrX,+,154004461,154005964,NR_110022.2,BS,1503
chr17,-,43192551,43195859,NM_133373.5,BS,3308
chr17,-,43192551,43197821,NM_133373.5,BS,5270
chr10,-,21076130,21309130,NM_001377324.1,BS,233000
chr15,-,69070873,69076934,NM_006305.4,BS,6061
chrX,+,46736939,46741793,NM_006915.3,BS,4854
chr17,-,62079954,62084095,NM_001099786.2,BS,4141
chr17,-,62079954,62097993,NM_001099786.2,BS,18039
chr13,+,51381990,51414230,NR_046551.1,BS,32240
chr17,-,76419777,76486929,NM_173628.4,BS,67152
chr1,+,40872407,40888994,NM_022733.3,BS,16587
chr9,-,14756371,14776254,NR_163239.2,BS,19883
chr3,-,54668487,54673884,NR_027122.1,BS,5397
chr16,-,2052206,2059737,NM_178167.4,BS,7531
chr10,+,133747956,133748510,NR_033191.3,BS,554
chr10,+,133757598,133761295,NR_033191.3,BS,3697
chr11,+,563188,564025,NM_003475.4,BS,837
chr11,+,562078,564025,NM_003475.4,BS,1947
chr11,+,560969,564025,NM_003475.4,BS,3056
chr11,+,563395,564025,NM_003475.4,BS,630
chr20,-,33725682,33753674,NM_001355008.2,BS,27992
chr20,-,33730175,33753674,NM_001355008.2,BS,23499
chr20,-,33805614,33823994,NM_001355008.2,BS,18380
chr20,-,33805614,33859948,NM_001355008.2,BS,54334
chr20,+,47607576,47653230,NM_006420.3,BS,45654
chr20,+,47601944,47653230,NM_006420.3,BS,51286
chr19,-,19010322,19014232,NM_001330469.2,BS,3910
chr19,-,19010322,19030196,NM_001330469.2,BS,19874
chr10,-,6001716,6005804,NM_001351096.1,BS,4088
chr10,-,5998341,6010891,NM_001351096.1,BS,12550
chr8,+,2063751,2093380,NM_003970.4,BS,29629
chr15,+,81071710,81166314,NM_001293298.2,BS,94604
chr15,+,81071710,81171208,NM_001293298.2,BS,99498
chr7,+,780455,826112,NM_017802.4,BS,45657
chr17,+,41342625,41363707,NM_031862.4,BS,21082
chr2,+,172300032,172341562,NM_025000.4,BS,41530
chr2,+,172314881,172341562,NM_025000.4,BS,26681
chr15,-,25923858,25947247,NM_024490.4,BS,23389
chr8,-,103216728,103236368,NM_001172477.1,BS,19640
chr20,+,30956817,31027122,NM_015338.6,BS,70305
chr20,+,31021086,31027122,NM_015338.6,BS,6036
chr20,+,31019385,31027122,NM_015338.6,BS,7737
chr17,-,62130139,62207504,NM_001433.5,BS,77365
chr15,+,78633384,78640567,NM_004378.3,BS,7183
chr7,+,66520821,66704501,NM_018264.4,BS,183680
chr15,+,85659214,85682373,NM_002605.3,BS,23159
chr1,-,204187980,204216588,NM_014935.5,BS,28608
chr5,-,20255552,20338348,NM_001349558.2,BS,82796
chr12,+,2926388,2927421,NR_147202.2,BS,1033
chr12,+,2931959,2967497,NR_147202.2,BS,35538
chr12,+,2931959,2946122,NR_147202.2,BS,14163
chr12,+,2926388,2946122,NR_147202.2,BS,19734
chr12,+,2930857,2946122,NR_147202.2,BS,15265
chr17,-,80962990,80972395,NR_135465.2,BS,9405
chr17,-,80923526,81006661,NR_135465.2,BS,83135
chr17,-,80914061,80915370,NR_135465.2,BS,1309
chr17,-,80962990,81006661,NR_135465.2,BS,43671
chr17,-,80962990,80992975,NR_135465.2,BS,29985
chr15,+,69553425,69564546,NM_001324094.2,BS,11121
chr17,+,65871671,65919106,NM_004459.7,BS,47435
chr17,+,65850055,65882432,NM_004459.7,BS,32377
chr6,-,138763119,138768330,NM_001144060.2,BS,5211
chr17,+,12569206,12608510,NM_001378306.1,BS,39304
chr6,-,109726131,109762374,NR_104429.1,BS,36243
chr9,-,117781853,117825468,NM_002160.4,BS,43615
chr11,+,47602386,47606114,NM_004551.3,BS,3728
chr9,+,131094431,131096351,NM_016035.5,BS,1920
chr7,-,74601103,74612761,NR_002206.3,BS,11658
chr7,-,74603795,74653454,NR_002206.3,BS,49659
chr7,-,74601103,74610433,NR_002206.3,BS,9330
chr7,-,74601103,74615445,NR_002206.3,BS,14342
chr7,-,74601103,74623734,NR_002206.3,BS,22631
chr7,-,74601103,74604975,NR_002206.3,BS,3872
chr3,-,44956752,44986784,NM_001330761.2,BS,30032
chr3,-,44956752,44975476,NM_001330761.2,BS,18724
chr20,-,39829925,39833706,NM_001384325.1,BS,3781
chr1,-,234527058,234566047,NM_005646.4,BS,38989
chr3,-,57557089,57561400,NM_001660.4,BS,4311
chr12,+,32133811,32146041,NM_018169.4,BS,12230
chr20,-,33590206,33591419,NM_015638.3,BS,1213
chr22,-,50683611,50687319,NM_032019.6,BS,3708
chr1,-,52838500,52850934,NM_004153.4,BS,12434
chr1,-,52838500,52854309,NM_004153.4,BS,15809
chr1,-,52838500,52851621,NM_004153.4,BS,13121
chr1,-,52838500,52863535,NM_004153.4,BS,25035
chr1,-,52838500,52847433,NM_004153.4,BS,8933
chr1,-,52838500,52850393,NM_004153.4,BS,11893
chr19,+,46029203,46030241,NM_003370.4,BS,1038
chr8,-,18490122,18730243,NM_001362819.2,BS,240121
chr8,-,18430037,18730243,NM_001362819.2,BS,300206
chr8,-,18658779,18730243,NM_001362819.2,BS,71464
chr8,-,18457873,18730243,NM_001362819.2,BS,272370
chr8,-,18662213,18730243,NM_001362819.2,BS,68030
chr8,-,18413718,18730243,NM_001362819.2,BS,316525
chr8,-,18513151,18730243,NM_001362819.2,BS,217092
chr8,-,18662031,18730243,NM_001362819.2,BS,68212
chr8,-,18725183,18730243,NM_001362819.2,BS,5060
chr8,-,18656804,18730243,NM_001362819.2,BS,73439
chr8,-,18622958,18730243,NM_001362819.2,BS,107285
chr22,-,31500762,31501951,NM_080430.4,BS,1189
chr22,-,31501193,31503554,NM_080430.4,BS,2361
chr19,-,49298320,49303095,NM_001284325.2,BS,4775
chr19,-,49298320,49300590,NM_001284325.2,BS,2270
chr19,-,49298320,49300279,NM_001284325.2,BS,1959
chr19,-,49298320,49303554,NM_001284325.2,BS,5234
chr19,-,49298320,49299975,NM_001284325.2,BS,1655
chr1,-,205271190,205277860,NM_030952.3,BS,6670
chr6,-,28353931,28359519,NR_136510.2,BS,5588
chr6,-,28358194,28366250,NR_136510.2,BS,8056
chr17,-,38854242,38854902,NM_019016.3,BS,660
chr8,-,144519828,144590069,NM_015117.3,BS,70241
chr15,+,57212089,57490023,NM_001322156.2,BS,277934
chr15,+,57544618,57565460,NM_001322156.2,BS,20842
chr15,+,57364850,57490023,NM_001322156.2,BS,125173
chr15,+,57543547,57544690,NM_001322156.2,BS,1143
chr15,+,57212089,57526305,NM_001322156.2,BS,314216
chr5,-,157789409,157796396,NR_109888.1,BS,6987
chr4,+,52777235,52783003,NM_001287757.2,BS,5768
chr1,-,200520627,200573083,NM_014875.3,BS,52456
chr1,+,182761366,182783993,NM_030769.3,BS,22627
chr1,+,182761366,182772906,NM_030769.3,BS,11540
chr1,+,182763490,182781348,NM_030769.3,BS,17858
chr1,+,182761366,182787824,NM_030769.3,BS,26458
chr17,+,2573456,2588909,NM_000430.4,BS,15453
chr16,+,56487174,56500180,NM_001324358.2,BS,13006
chr16,+,56487174,56496546,NM_001324358.2,BS,9372
chr10,+,116710852,116737435,NM_139169.5,BS,26583
chr5,-,175812930,175815344,NR_134318.2,BS,2414
chr6,+,56955608,56999668,NM_001031623.3,BS,44060
chr6,+,56963858,57017149,NM_001031623.3,BS,53291
chr6,+,56955608,57006893,NM_001031623.3,BS,51285
chr6,+,56963858,56999668,NM_001031623.3,BS,35810
chr6,+,56955608,56997990,NM_001031623.3,BS,42382
chr6,+,56955608,56993638,NM_001031623.3,BS,38030
chr6,+,56955608,57017149,NM_001031623.3,BS,61541
chr6,+,56963858,56989657,NM_001031623.3,BS,25799
chr6,+,56963858,56993638,NM_001031623.3,BS,29780
chr6,+,56955608,57025950,NM_001031623.3,BS,70342
chr6,+,56963858,56997990,NM_001031623.3,BS,34132
chr2,+,29016728,29025806,NM_206876.2,BS,9078
chr2,+,28999716,29025806,NM_206876.2,BS,26090
chr3,+,152017193,152183569,NM_001376823.1,BS,166376
chr6,+,119870972,119871560,NR_134600.1,BS,588
chr9,+,37768072,37778969,NR_104612.2,BS,10897
chr11,-,111680366,111709101,NM_001352422.2,BS,28735
chr11,-,111706887,111709101,NM_001352422.2,BS,2214
chr9,-,33461350,33468143,NM_022917.5,BS,6793
chr11,+,64129113,64139687,NM_003942.3,BS,10574
chr11,+,64127634,64139687,NM_003942.3,BS,12053
chr11,+,64128605,64139687,NM_003942.3,BS,11082
chr11,+,64132772,64139687,NM_003942.3,BS,6915
chr4,+,99355086,99365009,NM_001100426.2,BS,9923
chr4,+,99313102,99365009,NM_001100426.2,BS,51907
chr4,+,4651099,4712665,NR_037888.1,BS,61566
chr4,+,4543857,4651269,NR_037888.1,BS,107412
chr19,-,51499263,51503974,NM_144505.3,BS,4711
chr9,-,116822406,116823378,NM_001633.4,BS,972
chr9,-,116822406,116835306,NM_001633.4,BS,12900
chr9,-,116835204,116840580,NM_001633.4,BS,5376
chr1,+,206653789,206670222,NM_014002.4,BS,16433
chr1,+,206664151,206670222,NM_014002.4,BS,6071
chr1,+,206653364,206670222,NM_014002.4,BS,16858
chr1,+,206643818,206644588,NM_014002.4,BS,770
chr1,+,206666355,206670222,NM_014002.4,BS,3867
chr17,-,74561458,74563634,NM_006456.3,BS,2176
chr18,+,56018222,56068771,NM_001144967.3,BS,50549
chr3,-,56654159,56695045,NM_001112736.2,BS,40886
chr3,-,56654159,56707753,NM_001112736.2,BS,53594
chr2,-,110922264,110937261,NM_001374257.1,BS,14997
chr14,+,67488468,67589094,NM_001377514.1,BS,100626
chr14,+,67488468,67635753,NM_001377514.1,BS,147285
chr14,+,67525365,67648520,NM_001377514.1,BS,123155
chr19,-,6954614,6961052,NR_024075.2,BS,6438
chr1,-,149900542,149905835,NM_001145862.2,BS,5293
chr9,-,6532466,6554781,NM_000170.3,BS,22315
chr9,-,6532466,6588442,NM_000170.3,BS,55976
chr9,-,6532466,6540146,NM_000170.3,BS,7680
chr9,-,6532466,6592990,NM_000170.3,BS,60524
chr9,-,6532466,6595119,NM_000170.3,BS,62653
chr6,-,55973585,55988913,NR_134850.2,BS,15328
chr17,+,72470670,72480937,NM_001330456.1,BS,10267
chr9,-,80037994,80043952,NM_004297.4,BS,5958
chr2,+,220396479,220403494,NM_018674.6,BS,7015
chr8,+,64087889,64125344,NM_001277813.2,BS,37455
chr8,+,64098705,64125344,NM_001277813.2,BS,26639
chr4,-,843064,860322,NM_005255.4,BS,17258
chr5,-,40777546,40780440,NM_001355028.2,BS,2894
chr5,-,40764615,40780440,NM_001355028.2,BS,15825
chrX,+,86880609,86925050,NM_019117.5,BS,44441
chrX,+,86872934,86925050,NM_019117.5,BS,52116
chr9,+,101984827,101992897,NM_006808.3,BS,8070
chr17,-,9153787,9471787,NM_004853.3,BS,318000
chr17,-,9153787,9408479,NM_004853.3,BS,254692
chr1,-,247002399,247007230,NR_136586.2,BS,4831
chrX,-,39226766,39238480,NR_110385.1,BS,11714
chr8,+,1857460,1906807,NM_001308153.2,BS,49347
chr5,+,112327817,112357892,NM_152624.6,BS,30075
chr17,+,61271351,61505064,NM_001394998.1,BS,233713
chr17,+,61391748,61505064,NM_001394998.1,BS,113316
chr1,+,222791438,222794634,NM_001324062.2,BS,3196
chr19,-,5691844,5696181,NM_004793.4,BS,4337
chr11,-,614173,615950,NM_004031.4,BS,1777
chr6,+,129581855,129837711,NM_000426.4,BS,255856
chr7,-,92207463,92219704,NM_001040057.3,BS,12241
chr6,-,136552171,136560958,NM_001099286.3,BS,8787
chr6,-,136552171,136566007,NM_001099286.3,BS,13836
chr6,-,136552171,136564111,NM_001099286.3,BS,11940
chr3,-,49396577,49405981,NM_001313943.2,BS,9404
chr3,-,49396577,49400059,NM_001313943.2,BS,3482
chr1,+,150318493,150318977,NR_146769.1,BS,484
chr4,-,76836020,76846964,NM_014435.4,BS,10944
chr1,-,197473877,197643299,NM_001195215.2,BS,169422
chr4,+,154548756,154557863,NM_001131007.2,BS,9107
chr12,+,1887019,1897840,NM_001375364.1,BS,10821
chr12,+,1889616,1897840,NM_001375364.1,BS,8224
chr8,+,144458694,144466391,NM_052924.3,BS,7697
chr20,-,33148345,33176411,NM_080476.5,BS,28066
chr20,-,33148345,33225789,NM_080476.5,BS,77444
chr20,-,33148345,33245048,NM_080476.5,BS,96703
chr20,-,33148345,33163050,NM_080476.5,BS,14705
chr20,-,33148345,33203943,NM_080476.5,BS,55598
chr12,+,4385170,4414519,NM_001759.4,BS,29349
chr9,+,131811659,131830611,NM_032809.4,BS,18952
chr20,+,30125981,30154098,NM_178580.3,BS,28117
chr20,+,30125981,30142632,NM_178580.3,BS,16651
chr20,+,30115286,30132838,NM_178580.3,BS,17552
chr20,+,30125981,30132838,NM_178580.3,BS,6857
chr20,+,30125981,30137924,NM_178580.3,BS,11943
chr20,+,30115286,30126064,NM_178580.3,BS,10778
chr20,+,30115286,30149539,NM_178580.3,BS,34253
chr20,+,30102244,30137924,NM_178580.3,BS,35680
chr20,+,30125981,30137135,NM_178580.3,BS,11154
chr1,+,185056683,185071735,NM_007212.4,BS,15052
chr8,-,144694787,144695987,NM_001317783.2,BS,1200
chr8,-,144694787,144698893,NM_001317783.2,BS,4106
chr11,-,130274817,130286225,NM_007037.6,BS,11408
chr11,-,130274817,130278835,NM_007037.6,BS,4018
chr4,+,166259803,166264316,NM_006745.5,BS,4513
chr7,+,155471301,155574174,NM_053043.3,BS,102873
chr7,+,155465560,155574174,NM_053043.3,BS,108614
chr7,+,155503896,155574174,NM_053043.3,BS,70278
chr16,+,88037900,88098938,NM_001173543.1,BS,61038
chr16,+,88066714,88098938,NM_001173543.1,BS,32224
chr16,+,88052033,88098938,NM_001173543.1,BS,46905
chr16,+,88039695,88098938,NM_001173543.1,BS,59243
chr14,+,93260649,93282766,NM_005113.4,BS,22117
chr17,-,41952727,41960420,NM_001278381.2,BS,7693
chr17,-,41952727,41958717,NM_001278381.2,BS,5990
chr1,+,32658257,32663886,NM_001376857.1,BS,5629
chr1,+,32646842,32663886,NM_001376857.1,BS,17044
chr1,+,32645665,32653725,NM_001376857.1,BS,8060
chr19,-,36290889,36297732,NM_021232.2,BS,6843
chr19,-,36290889,36293178,NM_021232.2,BS,2289
chr1,-,3547333,3548902,NM_017818.4,BS,1569
chr20,-,57608199,57612335,NM_016045.3,BS,4136
chr14,+,105865638,105880196,NM_001195082.2,BS,14558
chr4,-,39824482,39900445,NM_001100399.2,BS,75963
chr4,-,39824482,39876032,NM_001100399.2,BS,51550
chr4,-,39824482,39905811,NM_001100399.2,BS,81329
chr4,-,39824482,39929784,NM_001100399.2,BS,105302
chr4,-,39824482,39851272,NM_001100399.2,BS,26790
chr4,-,39824482,39918808,NM_001100399.2,BS,94326
chr8,+,136657301,136659853,NM_006558.3,BS,2552
chr3,+,33414583,33420233,NM_001349326.2,BS,5650
chr1,+,160181332,160185162,NM_001297576.2,BS,3830
chr1,+,160176922,160185162,NM_001297576.2,BS,8240
chr12,-,75900561,75905389,NM_007043.7,BS,4828
chr8,-,39350629,39363391,NR_073423.1,BS,12762
chr8,-,39362859,39370175,NR_073423.1,BS,7316
chr8,-,39323363,39350766,NR_073423.1,BS,27403
chr8,-,39356852,39371674,NR_073423.1,BS,14822
chr6,+,33387841,33406696,NM_006772.3,BS,18855
chr6,+,33414351,33421466,NM_006772.3,BS,7115
chr12,+,48529073,48535164,NM_001354736.1,BS,6091
chr1,-,36197712,36204183,NM_022111.4,BS,6471
chr2,+,132442281,132480221,NR_167889.1,BS,37940
chr2,+,132442281,132509158,NR_167889.1,BS,66877
chr2,+,132443636,132480221,NR_167889.1,BS,36585
chr10,-,98277866,98319493,NM_020123.4,BS,41627
chr10,-,98277866,98292947,NM_020123.4,BS,15081
chr10,-,98277866,98290365,NM_020123.4,BS,12499
chr8,+,36661544,36698521,NR_134267.2,BS,36977
chr8,+,36662712,36666311,NR_134267.2,BS,3599
chr8,+,36661544,36722039,NR_134267.2,BS,60495
chr8,+,36661544,36694463,NR_134267.2,BS,32919
chr8,+,36661544,36666311,NR_134267.2,BS,4767
chr8,+,36661544,36776415,NR_134267.2,BS,114871
chr8,+,36661544,36675278,NR_134267.2,BS,13734
chrX,+,23803636,23804327,NR_027783.3,BS,691
chrX,+,23801774,23804327,NR_027783.3,BS,2553
chr3,-,4402829,4452662,NM_182760.4,BS,49833
chr12,-,31535159,31586182,NM_144973.4,BS,51023
chr19,-,55741146,55752759,NM_014931.4,BS,11613
chr19,-,55741146,55742052,NM_014931.4,BS,906
chr19,-,55741146,55756553,NM_014931.4,BS,15407
chr19,-,55741146,55758477,NM_014931.4,BS,17331
chr19,-,55741146,55753007,NM_014931.4,BS,11861
chr19,-,55741146,55751482,NM_014931.4,BS,10336
chr11,-,116655570,116658739,NM_003904.5,BS,3169
chr19,+,34838781,34846471,NM_014686.5,BS,7690
chr11,-,118914898,118926283,NM_006389.5,BS,11385
chr11,-,118914898,118922884,NM_006389.5,BS,7986
chr11,-,118914898,118920549,NM_006389.5,BS,5651
chr22,-,50941377,50944642,NM_001363816.2,BS,3265
chr22,-,50941377,50943156,NM_001363816.2,BS,1779
chr22,-,50941377,50943582,NM_001363816.2,BS,2205
chr22,-,50941377,50943413,NM_001363816.2,BS,2036
chr22,-,50941377,50943763,NM_001363816.2,BS,2386
chr22,-,50941377,50945095,NM_001363816.2,BS,3718
chr22,-,50941377,50944244,NM_001363816.2,BS,2867
chr22,-,50942987,50946131,NM_001363816.2,BS,3144
chr12,-,121200312,121204175,NM_139015.5,BS,3863
chr20,+,30746253,30755059,NM_001363731.2,BS,8806
chr20,+,30738424,30755059,NM_001363731.2,BS,16635
chr3,+,182511291,182575816,NM_014616.3,BS,64525
chr8,-,134249417,134254317,NM_001135242.2,BS,4900
chr7,+,101090964,101202304,NM_001278563.3,BS,111340
chr7,+,101183173,101202304,NM_001278563.3,BS,19131
chr7,+,101196606,101202304,NM_001278563.3,BS,5698
chr7,+,101188618,101202304,NM_001278563.3,BS,13686
chrX,+,100805529,100806616,NM_016608.2,BS,1087
chr19,+,21558039,21571384,NM_001355237.2,BS,13345
chr1,-,146626684,146634152,NM_005399.5,BS,7468
chr2,+,170735034,170940641,NM_172070.4,BS,205607
chr15,-,83348480,83358205,NM_001278512.2,BS,9725
chr15,-,83345212,83358205,NM_001278512.2,BS,12993
chr10,-,123256045,123286468,NM_001320654.2,BS,30423
chr17,+,80012373,80014642,NM_001321089.3,BS,2269
chr14,-,68143516,68157138,NM_016026.4,BS,13622
chr6,-,93964364,94124485,NM_004440.4,BS,160121
chr16,-,15880486,15950885,NM_001040113.2,BS,70399
chr1,+,211565168,211605877,NR_026761.2,BS,40709
chr1,+,211599552,211605877,NR_026761.2,BS,6325
chr19,+,8322762,8327305,NM_024552.3,BS,4543
chr19,+,8274253,8319500,NM_024552.3,BS,45247
chr6,-,26856788,26924333,NR_003504.3,BS,67545
chr13,+,113669076,113679072,NM_001366644.2,BS,9996
chr13,+,113669076,113720484,NM_001366644.2,BS,51408
chr13,+,113669076,113699675,NM_001366644.2,BS,30599
chr13,+,113669076,113739298,NM_001366644.2,BS,70222
chr9,-,19115758,19123645,NR_038064.2,BS,7887
chr9,-,19115758,19121163,NR_038064.2,BS,5405
chr2,-,240896788,240961757,NR_136155.2,BS,64969
chr19,-,47567443,47575378,NM_015168.2,BS,7935
chr10,-,43689982,43695216,NM_145313.4,BS,5234
chr10,-,43689982,43694460,NM_145313.4,BS,4478
chr10,-,43689982,43691996,NM_145313.4,BS,2014
chr10,-,43689982,43692547,NM_145313.4,BS,2565
chr4,+,110740156,110745893,NM_018983.4,BS,5737
chr17,+,4843781,4848517,NM_001370303.1,BS,4736
chr11,+,105795124,105845171,NM_000829.4,BS,50047
chr16,-,89371613,89556969,NM_001256182.2,BS,185356
chr16,-,89337224,89556969,NM_001256182.2,BS,219745
chr16,+,72090059,72094954,NM_005143.5,BS,4895
chr3,+,158545068,158547505,NR_110328.3,BS,2437
chr9,-,135144789,135152539,NM_001351528.2,BS,7750
chr9,-,135144789,135187243,NM_001351528.2,BS,42454
chr2,+,231109702,231177930,NM_007237.5,BS,68228
chr2,+,231155174,231177930,NM_007237.5,BS,22756
chr2,+,231110577,231177930,NM_007237.5,BS,67353
chr3,+,15475854,15484120,NM_033083.7,BS,8266
chr3,+,15471419,15484120,NM_033083.7,BS,12701
chr8,-,142217272,142231864,NM_001286646.2,BS,14592
chr10,-,61410521,61444085,NM_001323981.2,BS,33564
chr10,-,61410521,61424080,NM_001323981.2,BS,13559
chr5,-,137288316,137289178,NR_169825.1,BS,862
chr9,-,102741466,102780595,NM_015051.3,BS,39129
chr1,-,243287729,243303409,NM_014812.3,BS,15680
chr17,+,19188932,19240028,NM_014964.5,BS,51096
chr17,+,19232873,19240028,NM_014964.5,BS,7155
chrX,-,131337052,131351834,NM_001271186.2,BS,14782
chrX,-,131352259,131353475,NM_001271186.2,BS,1216
chr11,-,117707695,117712580,NM_001164836.3,BS,4885
chr3,+,3188113,3190917,NR_159934.1,BS,2804
chr14,+,24605402,24606640,NM_176783.3,BS,1238
chr14,+,24606908,24608171,NM_176783.3,BS,1263
chr14,+,24607404,24608171,NM_176783.3,BS,767
chr14,+,24606351,24608171,NM_176783.3,BS,1820
chr2,-,128396000,128412470,NM_001136037.4,BS,16470
chr8,-,41518947,41521260,NM_000037.4,BS,2313
chr8,-,41518947,41526082,NM_000037.4,BS,7135
chr8,-,41518947,41519459,NM_000037.4,BS,512
chr15,-,41601470,41605552,NM_007280.2,BS,4082
chr3,+,173518082,173525622,NM_001365923.2,BS,7540
chr17,-,7497235,7518215,NM_004860.4,BS,20980
chr17,-,7504726,7518215,NM_004860.4,BS,13489
chr19,+,2785500,2790631,NM_003249.5,BS,5131
chr15,+,78786250,78793795,NM_001320942.2,BS,7545
chr18,-,45864544,45873069,NM_001371290.1,BS,8525
chr18,-,45864544,45890585,NM_001371290.1,BS,26041
chr15,+,43438690,43477342,NM_001347006.2,BS,38652
chr10,+,35537036,35819171,NM_181698.4,BS,282135
chr13,+,21142023,21179244,NR_148462.2,BS,37221
chr13,+,21142023,21245178,NR_148462.2,BS,103155
chr17,+,37359241,37360983,NM_001330200.1,BS,1742
chr17,+,37358569,37360983,NM_001330200.1,BS,2414
chr17,+,37357465,37360983,NM_001330200.1,BS,3518
chr3,+,33344565,33406211,NR_146130.2,BS,61646
chr7,-,134127101,134132133,NM_001346142.1,BS,5032
chrX,+,123184970,123236506,NM_001042749.2,BS,51536
chr6,-,62362159,62371269,NR_146870.2,BS,9110
chr6,-,62316194,62442669,NR_146870.2,BS,126475
chr7,+,107236311,107263762,NM_001371364.2,BS,27451
chr7,+,107253776,107263762,NM_001371364.2,BS,9986
chr13,-,41826780,41838624,NM_001354073.1,BS,11844
chr1,-,31732414,31742087,NM_004814.3,BS,9673
chr11,-,74971165,74988492,NM_004041.5,BS,17327
chr19,-,7991602,8003082,NM_006351.4,BS,11480
chr19,-,7991602,7992652,NM_006351.4,BS,1050
chr19,-,7991602,7997636,NM_006351.4,BS,6034
chr19,-,7991602,7997817,NM_006351.4,BS,6215
chr19,-,7991602,7993051,NM_006351.4,BS,1449
chr19,-,7991602,7998455,NM_006351.4,BS,6853
chr9,-,140262387,140269215,NR_104598.2,BS,6828
chr2,-,152126983,152139468,NM_004688.3,BS,12485
chr1,+,19639222,19658922,NR_109848.2,BS,19700
chrX,-,53963112,54029115,NM_015107.3,BS,66003
chr17,-,73232693,73240798,NM_001291641.2,BS,8105
chr5,-,90609454,90610219,NR_103548.1,BS,765
chr15,+,41988272,42062138,NM_001400225.1,BS,73866
chr19,-,35988121,35989799,NM_033317.5,BS,1678
chr19,-,35988121,35993085,NM_033317.5,BS,4964
chr19,-,35988121,35991482,NM_033317.5,BS,3361
chr7,+,44147037,44154159,NM_001129.5,BS,7122
chr7,+,44150752,44154159,NM_001129.5,BS,3407
chr7,+,44151452,44154159,NM_001129.5,BS,2707
chr7,+,44146144,44154159,NM_001129.5,BS,8015
chr12,+,7342957,7362838,NM_001131026.2,BS,19881
chr9,+,5456099,5462968,NR_052005.2,BS,6869
chr9,+,37495886,37503694,NM_001282766.2,BS,7808
chr9,+,37500836,37503694,NM_001282766.2,BS,2858
chr9,+,37495165,37503694,NM_001282766.2,BS,8529
chr9,+,37493555,37503694,NM_001282766.2,BS,10139
chr9,+,37492278,37503694,NM_001282766.2,BS,11416
chr8,-,120584415,120606100,NM_001330600.2,BS,21685
chr17,-,2592680,2597570,NM_001366661.1,BS,4890
chr1,+,55197327,55203337,NR_037641.2,BS,6010
chr7,+,114178380,114210936,NR_033766.2,BS,32556
chr7,+,113928073,114066734,NR_033766.2,BS,138661
chr1,+,86046443,86047261,NM_001554.5,BS,818
chr6,+,64231650,64237989,NM_001385258.1,BS,6339
chr17,-,8285460,8286511,NM_001315530.2,BS,1051
chr4,+,38933855,38947360,NM_138389.4,BS,13505
chr3,-,138036989,138043772,NM_001349018.2,BS,6783
chr22,+,50356336,50357720,NM_001001852.4,BS,1384
chr22,+,50355089,50357720,NM_001001852.4,BS,2631
chr7,+,888054,896038,NM_001367705.1,BS,7984
